source	default_branch	head_count	tag_count	pr_ref_count	refs_considered	content_evidence_status	evidence_method	reachable_object_count	all_ref_object_graph_sha256	unique_blob_count	unique_blob_content_sha256	ref_tree_row_count	ref_tree_sha256	note
bradAGI/awesome-cli-coding-agents	main	1	0	221	222	ok	object_graph_and_unique_blob_body	984	465657b9182e82fa06b52bbf9e00ba3878d8fbc2866e0fea4193fe11c08e795f	284	f61ede868b56ae18dbc98719e386aa354ad9f70a6157c1bbe9458f341e608086			all refs reachable object graph + unique blob body digest; external code not executed
andyrewlee/awesome-agent-orchestrators	main	5	0	111	116	ok	object_graph_and_unique_blob_body	703	ceed867d386e99ed5b8c57fecf922bf995b33f5b8f0f93f46d17d9e45ec6a8c8	224	bf78b488a6f1e43f840c564b79cff2d8070f6c8280887ca7a25a38de4a422db4			all refs reachable object graph + unique blob body digest; external code not executed
Fission-AI/OpenSpec	main	202	39	841	1082	ok	object_graph_and_unique_blob_body	32327	83eefb9821ad669eed451fa4921f7687918f1eb1d4b3fa02bbdef5d0308d1d9f	12679	1523ba6adecc00c6955de8cd77ec3cd397c06c7ab0433063759a88394b5a677b			all refs reachable object graph + unique blob body digest; external code not executed
statewright/statewright	main	1	2	0	3	ok	object_graph_and_unique_blob_body	1869	2762340587fccfc1fc2d0dc490302dbf112d8879b46c412238337eb11c2e7afc	676	97de7e942c721efdb2ce6a23fd68417dccb58b6c14470c5c99edee17a056be7e			all refs reachable object graph + unique blob body digest; external code not executed
github/spec-kit	main	20	257	1742	2019	ok	object_graph	99390	8fa47cd3d0c3acad0252514750bdfa2d2e369a462dfefc18d7f8eacbf391e554					all refs reachable object graph digest; raw blob body digest skipped in this pass due size; external code not executed
AgentWrapper/agent-orchestrator	main	687	226	1646	2559	ok	ref_root_tree					2559	314e455688fa220129a70a63890b567e4f616d0af575700125df5ef537993ae5	all refs peeled to commit root tree digest; no blob checkout or external code execution
first-fluke/oh-my-agent	main	7	492	566	1065	ok	topic_all_ref_content_ledger			13501	05c6bb920f97a7664d198a720fa5c486c9237d8b0a6bf1a78aad35fb15c861e4			topic all-ref content ledger chunk-0017 already records content_entry_count=1394018; external code not executed
code-yeongyu/oh-my-openagent	dev	129	232	4071	4432	ok	ref_root_tree					4432	59a0c5c1b58f44632c4ac987e1b6fb8a6c871a704815c2d73b04ec8f2a6bff7c	all refs peeled to commit root tree digest; no blob checkout or external code execution
ai-boost/awesome-harness-engineering	main	4	0	194	198	ok	object_graph_and_unique_blob_body	1138	e6ea44129e0143b9bd7edd294ec26ff325adf4ab9c10ae9df88f3700d3901f94	381	f6262ed76c08296bf3750f8130de88e378d90ebedb7fbaca45fdcad1e057589a			all refs reachable object graph + unique blob body digest; external code not executed
Picrew/awesome-agent-harness	main	1	0	54	55	ok	object_graph_and_unique_blob_body	750	c0fb682deadc721fbd2ff018b608521c8d2b97d938680b51086cf3b375d12f14	323	b108a90844e3ba670f04f8800afac563305d6de3d09fa6df0e27f06d797c9291			all refs reachable object graph + unique blob body digest; external code not executed
AutoJunjie/awesome-agent-harness	main	3	0	42	45	ok	object_graph_and_unique_blob_body	266	9b524b941bf6f28d3fe40b02e9995b6aded3ce465f7fdbd81bc783785c6cfb80	91	8a85f6ea191d986576b4466d03ee572351ac178edb440fd326a58d459374b1da			all refs reachable object graph + unique blob body digest; external code not executed
